"symbol","yahoo_symbol","name","aliases"
"ERIS","ERIS.NS","Eris Lifesciences Ltd.","eris|eris lifesciences ltd.|eris lifesciences"
"ESCORTS","ESCORTS.NS","Escorts Kubota Ltd.","escorts|escorts kubota ltd.|escorts kubota"
"ETERNAL","ETERNAL.NS","Eternal Ltd.","eternal|eternal ltd."
"EXIDEIND","EXIDEIND.NS","Exide Industries Ltd.","exideind|exide industries ltd.|exide"
"NYKAA","NYKAA.NS","FSN E-Commerce Ventures Ltd.","nykaa|fsn e-commerce ventures ltd.|fsn e commerce ventures"
"FEDERALBNK","FEDERALBNK.NS","Federal Bank Ltd.","federalbnk|federal bank ltd.|federal bank"
"FACT","FACT.NS","Fertilisers and Chemicals Travancore Ltd.","fact|fertilisers and chemicals travancore ltd.|fertilisers and chemicals travancore"
"FINCABLES","FINCABLES.NS","Finolex Cables Ltd.","fincables|finolex cables ltd.|finolex cables"
"FSL","FSL.NS","Firstsource Solutions Ltd.","fsl|firstsource solutions ltd.|firstsource solutions"
"FIVESTAR","FIVESTAR.NS","Five-Star Business Finance Ltd.","fivestar|five-star business finance ltd.|five star business finance"
"FORCEMOT","FORCEMOT.NS","Force Motors Ltd.","forcemot|force motors ltd.|force motors"
"FORTIS","FORTIS.NS","Fortis Healthcare Ltd.","fortis|fortis healthcare ltd.|fortis healthcare"
"GAIL","GAIL.NS","GAIL (India) Ltd.","gail|gail (india) ltd."
"GVT&D","GVT&D.NS","GE Vernova T&D India Ltd.","gvt&d|ge vernova t&d india ltd.|ge vernova t&d"
"GMRAIRPORT","GMRAIRPORT.NS","GMR Airports Ltd.","gmrairport|gmr airports ltd.|gmr airports"
"GABRIEL","GABRIEL.NS","Gabriel India Ltd.","gabriel|gabriel india ltd."
"GALLANTT","GALLANTT.NS","Gallantt Ispat Ltd.","gallantt|gallantt ispat ltd.|gallantt ispat"
"GRSE","GRSE.NS","Garden Reach Shipbuilders & Engineers Ltd.","grse|garden reach shipbuilders & engineers ltd.|garden reach shipbuilders & engineers"
"GICRE","GICRE.NS","General Insurance Corporation of India","gicre|general insurance corporation of india|general insurance of"
"GILLETTE","GILLETTE.NS","Gillette India Ltd.","gillette|gillette india ltd."
"GLAND","GLAND.NS","Gland Pharma Ltd.","gland|gland pharma ltd.|gland pharma"
"GLAXO","GLAXO.NS","Glaxosmithkline Pharmaceuticals Ltd.","glaxo|glaxosmithkline pharmaceuticals ltd.|glaxosmithkline pharmaceuticals"
"GLENMARK","GLENMARK.NS","Glenmark Pharmaceuticals Ltd.","glenmark|glenmark pharmaceuticals ltd.|glenmark pharmaceuticals"
"MEDANTA","MEDANTA.NS","Global Health Ltd.","medanta|global health ltd.|global health"
"GODIGIT","GODIGIT.NS","Go Digit General Insurance Ltd.","godigit|go digit general insurance ltd.|go digit general insurance"
"GPIL","GPIL.NS","Godawari Power & Ispat Ltd.","gpil|godawari power & ispat ltd.|godawari power & ispat"
"GODFRYPHLP","GODFRYPHLP.NS","Godfrey Phillips India Ltd.","godfryphlp|godfrey phillips india ltd.|godfrey phillips"
"GODREJCP","GODREJCP.NS","Godrej Consumer Products Ltd.","godrejcp|godrej consumer products ltd.|godrej consumer products|godrej consumer"
"GODREJIND","GODREJIND.NS","Godrej Industries Ltd.","godrejind|godrej industries ltd.|godrej"
"GODREJPROP","GODREJPROP.NS","Godrej Properties Ltd.","godrejprop|godrej properties ltd.|godrej properties"
"GRANULES","GRANULES.NS","Granules India Ltd.","granules|granules india ltd."
"GRAPHITE","GRAPHITE.NS","Graphite India Ltd.","graphite|graphite india ltd."
"GRASIM","GRASIM.NS","Grasim Industries Ltd.","grasim|grasim industries ltd."
"GRAVITA","GRAVITA.NS","Gravita India Ltd.","gravita|gravita india ltd."
"GESHIP","GESHIP.NS","Great Eastern Shipping Co. Ltd.","geship|great eastern shipping co. ltd.|great eastern shipping"
"FLUOROCHEM","FLUOROCHEM.NS","Gujarat Fluorochemicals Ltd.","fluorochem|gujarat fluorochemicals ltd.|gujarat fluorochemicals"
